outcome,scale,split,cell,horizon,spec,tau,tau_bc,se_cl,se_rb,p_rb,ci_l_rb,ci_r_rb,Mean,N,N_l,N_r,h_l,h_r,b_l,b_r
main,level,geography,1,5,2,.1029243323624004,.0052343899197823,1.898479664180588,2.098350836516922,.9980096585861077,-3.446245594141734,3.456714373981299,11.62529550827423,24139,2625,2150,3.77539455177019,3.77539455177019,7.997215149289876,7.997215149289876
main_jif,level,geography,1,5,2,-3.455402586578309,-3.626758333803223,2.622979784916451,2.968655995568368,.2218273017630631,-8.509762915285089,1.256246247678642,20.11995409949033,24139,2378,1993,3.437813600512597,3.437813600512597,6.722384415093003,6.722384415093003
d_pubs_dest,level,geography,1,5,2,.2735706108390031,.2749676449816993,.083226640362232,.0872562860455083,.001625651469645,.1314438264054297,.4184914635579688,.6091413925672789,24139,2430,2030,3.497573390924592,3.497573390924592,10.3429318196205,10.3429318196205
coauths_count,level,geography,1,5,2,-4.110879359911109,-3.034496946443651,9.388555986076565,10.57606676962328,.7741727169513708,-20.43057873133945,14.36158483845215,33.75918367346939,24139,2539,2098,3.659017435861505,3.659017435861505,7.210945143619038,7.210945143619038
main,level,geography,2,5,2,4.026512658143903,4.168073987939114,1.877907528215192,2.190554505437605,.0570733886633896,.5649324646351799,7.771215511243049,12.03493449781659,16846,1657,1344,3.386059867796359,3.386059867796359,6.597158740840067,6.597158740840067
main_jif,level,geography,2,5,2,8.709719270291666,9.304095768826885,2.303535204793799,2.676667346703246,.000508952235217,4.901369775459475,13.70682176219429,21.06256022956464,16846,1898,1509,3.85417088630879,3.85417088630879,7.138299418338784,7.138299418338784
d_pubs_dest,level,geography,2,5,2,.3269867016392028,.3321631513762367,.0728468140473015,.0798197580278173,.0000316281495299,.2008713328817925,.4634549698706809,.6180597925564368,16846,1690,1367,3.442733349483277,3.442733349483277,7.963389099810723,7.963389099810723
coauths_count,level,geography,2,5,2,13.44602783428161,15.52021199209747,10.1497170223105,11.27289306409142,.1685825180738297,-3.022047050609393,34.06247103480434,33.46356275303643,16846,1535,1262,3.131864989358819,3.131864989358819,6.501398868030207,6.501398868030207
main,level,quality,1,5,2,10.03723163867015,13.07963289250159,11.12058986340566,12.70378141840478,.3032044862340322,-7.816228049560245,33.97549383456342,12.42379182156134,2655,278,221,3.095172322988106,3.095172322988106,6.030430922988148,6.030430922988148
main_jif,level,quality,1,5,2,10.05583871555461,13.76527833241758,10.7164704143876,12.46641781715117,.2695112678344332,-6.740154229215982,34.27071089405113,22.43190547064705,2655,341,271,3.774911492788425,3.774911492788425,6.375497027411422,6.375497027411422
d_pubs_dest,level,quality,1,5,2,-.3957362603365699,-.5171541466592863,.3920837697536746,.4583326646042082,.2591772151986081,-1.271044292383851,.2367359990652784,.5826330532212886,2655,373,293,4.157471547763191,4.157471547763191,7.417665222218867,7.417665222218867
coauths_count,level,quality,1,5,2,59.14423833675576,77.03383455721124,41.59299308698194,46.96488158346013,.1009545798143947,-.2165212546895674,154.284190369112,30.52083333333333,2655,347,277,3.845414080079543,3.845414080079543,6.956274867700981,6.956274867700981
main,level,quality,2,5,2,2.214568213410711,2.419535821812047,1.800291528394073,2.021458644869448,.2313355124983592,-.9054677619338727,5.744539405557967,11.74006701771182,27327,2167,1926,2.804015057642126,2.804015057642126,6.015911839595417,6.015911839595417
main_jif,level,quality,2,5,2,1.431975078266417,1.39939065518071,2.369802972931999,2.564390745278273,.5852714680597838,-2.818656763111047,5.617438073472467,20.57488741912173,27327,2940,2444,3.771370994047432,3.771370994047432,8.912467027501624,8.912467027501624
d_pubs_dest,level,quality,2,5,2,.3700285540434251,.3665321269226652,.0716410988757154,.0761855624324942,1.50143621836e-06,.2412180282342392,.4918462256110913,.6087727071333628,27327,2349,2038,3.017792893980843,3.017792893980843,7.758530199358417,7.758530199358417
coauths_count,level,quality,2,5,2,-7.729356980160888,-7.412897869969989,9.291671672840565,10.24679374841005,.4694121571836068,-24.26737373166594,9.441577991725961,34.52755591054313,27327,2600,2208,3.334092933573629,3.334092933573629,7.023254069593113,7.023254069593113
